id,title,artist,year,album,acoustID
20,La Casa,Orlando Marin And His Orchestra,1962,se Te Quemó La Casa,57313eec-4c3a-4efe-9406-348de4ac030a
21,La Cinta Verde,Feliciano Y Su Orquesta,1973,Feliciano Y Su Orquesta,10f55fb0-8004-4eea-a102-a675279b9b59
22,La Juma De Ayer,Henry Fiol,1980,"Fe, Esperanza Y Caridad",263e69f2-c3fc-42b5-9e8d-d5d4c981fba8
23,La Pelegrina,Ricardo Ray,1968,"Jala, Jala Boogaloo Volume II",a485d005-5dba-4983-92c7-38c130942d4f
24,Las Caras Lindas,Ismael Rivera,1978,Esto Si Es Lo Mio,17c0905c-31c0-4a16-af96-ff49407580f9
25,Magdalena,orquesta la conspiración,1972,magdalena,68838cf7-2be0-41db-82ee-ab213d32dd85
26,Matasiguaraya,oscar de león ,1977,2 Sets Con Oscar,107b9a1e-11db-46f3-b13a-ef71479e6956
27,Me Fallaste,Eddie Santiago,1988,Invasion De La Privacidad,9e10e13a-28d0-4dc3-9057-b3dc486c0176
28,Nina Y Senora,Tito Puente ,1972,Para Los Rumberos,a56f3f5d-ed3d-47b5-9c23-f6e9232e5dde
29,Nuestro Sueño,grupo niche,1988,Tapando El Hueco,a2187cfc-f198-4c7e-a572-ceb2986f48fe
30,Oríza,ocho,1972,ocho,c3e600d3-99d0-4a6d-a371-0db43877fff9
31,Plastico,willie colón & rubén blades,1978,siembra,7c6d4ebf-42fc-4042-a67e-d144548e927b
32,que pena,the lebron brothers,1988,loco por ti,154d8102-8b22-4c88-b1bb-77dcb4a83225
33,Que precio tiene el cielo,Marc Anthony,2006,Sigo Siendo Yo,9453041a-fe1d-4226-890d-cef93830f75c
34,Quitate La Mascara,Ray Barreto,1978,gracias,56e03ab2-6059-4861-9457-5e492f2c385d
35,Sabroso,Roberto Roena,1982,Super Apollo 47:50,91a8c4c9-1d8e-4d2f-8e0c-4187c63b5c89
36,Siempre Alegre,Raphy Leavitt,1983,Siempre Alegre,638964e0-11f5-427c-a25a-b314901f5a9e
37,Temperatura,The lebrón brothers,1971,picadillo a la criolla,f623ddc8-89ae-4b94-b89c-b745e70e00a7
38,Toma Jabon Pa Que Laves,Daniel Santos,1973,Daniel Santos Y Claudio Ferrer Interpretan Hoy A Pedro Flores,a32ebb26-eb12-425a-a860-caf8c9a68793
39,Vamos A Reir Un Poco,Hectror Lavoe,1976,De ti depende,564d5798-b957-40f4-9ea0-c967bcb3265b
40,Yambeque,sonora ponceña,1982,Deetermination,49df377d-b7ef-4bdf-9b70-51d78cbc5c8c
41,Cao Cao Mani Picao,Celia Cruz,1952,Selecciones Favoritas De Celia Cruz,86eb1afd-1200-4f9a-8372-63293b98ea4c
42,El Recuerdo De Tu Mirada,Orquesta Zodiac,1977,Zodiac En Navidad,2cd10344-76c7-484e-b466-d157ee1c518d
43,Te Busco,Celia Cruz,1992,azucar negra,3381343b-5910-4511-8753-9c51336d5fc9
44,Esta Navidad,Willie Colón & Héctor Lavoe,2009,"Asalto Navideno, Vol. 1 & 2 (Deluxe Edition)",1339f50f-0c7f-4b9b-8486-6b49a3cfaf78
45,Por Encima Del Nivel (Sandunguera),Los van van,1983,que pista,ef9f791e-a9a7-4694-a9f9-198ae9be5cc2
46,Anda Ven Y Muévete,Los van van,1984,Anda Ven Y Muevete,a4bfaaa7-02a5-47ec-ae27-50286353f298
47,Caradura,Max Torres,2004,Lo Mejor De: Se Botó La Salsa,0e875f8f-22cf-460c-b2d8-ba3cdfc3ea6f
48,Falsaria,el gran combo de puerto rico,1978,Los Años De Andy Montañez Con El Gran Combo,86ceb6e6-4df7-40ce-afcb-bc436b3c0056
49,La Salsa De Hoy,el gran combo de puerto rico,1974,Nacionales no. 1,06e6e0c5-3305-4ef0-a54e-958a1cf518c5
50,Adios madeira,Ray Perez Y Su Orquesta,1979,Aqui Estoy De Nuevo,4938461f-598b-4015-90da-4465fedb1a35
51,Algun Día Será,Roberto Roena ,1980,Que Suerte He Tenido De Nacer,27a25f2c-bc4d-4037-b13c-c9b35c970f08
52,Amparo Arrebato,Ricardo Ray & Bobby Cruz,1970,Aguzate,f87a1bc6-2d83-47f6-a23d-f784ae1e9fe9
53,Casabe De Yuca,Chorolo Y Su Combo,1966,Pachanguerisimo Vol. 2,1ed59e69-0ae0-4d32-9e3e-616aafa5b6eb
54,Che Che Cole,Willie Colón,1969,Cosa Nuestra,e662e07c-fbdc-4a8c-ba76-83b1c1e01912
55,Cogele El Golpe,Cachao Y Su Combo ,1957,Descargas Cubanas,c689b8df-3d66-4dfb-9fb5-865e603eef92
56,Consolación,Roberto Roena,1970,Roberto Roena Lo Mejor de lo Mejor Vol. 1,2e03a386-d24e-4b75-9663-e11749e1db8f
57,De Todas Maneras Rosas,Ismael Rivera Y Sus Cachimbos,1977,De Todas Maneras Rosas,9491caa6-6065-4fcd-8ba1-de9a6172e71e
58,Del Puente Para Alla,Grupo Niche,1985,Triunfo,945caf68-bbd9-4660-9ea7-bc9fd515609d
59,El Diablo,Ray Barretto,1973,Indestructible,4ed1da20-ae34-4574-a891-0d17423201e7
60,El Hueso,Pete Rodriguez y su Conjunto,1967,I Like it Like That,c3c9eb13-4638-4617-a525-d0f831bfc7aa
61,El Raton,Cheo Feliciano,1976,Cheo's Rainbow,268f4520-e1c3-4d3f-91c6-6dea185e8663
62,Fe,the lebron brothers,1970,Brother,fa894cfc-5cd9-4f1c-83fc-8a2acbd36d56
63,Hachero pa,Orquesta Sonora Ponceña,1968,Hacheros Pa' Un Palo,a4743b5b-3ec3-4101-a5ea-797be98a2a22
64,La Culebra(1),Orquesta La Conspiracion,1972,Ernie's Conspiracy,d7040c90-8e6e-4fe4-a353-e3c4a24abf02
65,La Noche Mas Linda,Adalberto Santiago ,1989,Sex Symbol,43621179-206e-4784-a1b5-1d59d427bf8f
66,La Pachanga Se Baila Asi,Joe Quijano,1962,The Best Pachanga,47850cce-74dc-4769-8715-fb779b544239
67,La Tuna,Los Wawanco,1968,Rumba Del Ayer Vol. 2,dc1486c8-921f-448a-8124-8522fde28e02
68,Listen - Dos Trompetas,Joe Cain & His Orchestra,1964,Latin Explosion,ccce7901-b4b1-433c-be1b-f1488c337983
69,Lloraras,Dimensión latina Oscar D' León,1974,Dimensión latina,cff0064e-6dd3-4bc0-bb66-e4c60e4ce1b3
70,Mi Isla Preciosa,Eddie Palmieri,1962,La Perfecta,e051b16a-e1dd-422e-a3fd-68654afce15d
71,No Estas En Nada,Justo Betancourt,1968,El Explosivo,50ea90fd-ecde-48fa-835c-d8bf987051f2
72,No me conoces,Bobby Valentín,1981,Siempre en forma,e45604b4-dabc-4e6c-bc9b-6b935b0d2408
73,No Podras Escapar de Mi,Willie Gonzalez,1994,Willie Gonzalez: Grandes Exitos,d28fde51-1193-4868-a99b-602a3078069f
74,Ñangó,Bronco,1975,Bronco,9320c8d6-99e4-4814-9880-871709fea533
75,Para Que Aprendas,Roberto Torres,1976,Juntos,3786d2ed-28a8-414b-99c4-da5d1c131f90
76,Pensando En Ti,Cheche Mendoza,1971,Siempre en órbita,a8227ec2-9895-48d0-a6a8-905ee90b08d1
77,Sabrocito Bongó,Nelson González,1977,Nelson González And His Band,b80dcbbc-2528-469d-a301-59bfb62fca19
78,Sol De Mi Vida,Angel Canales,1975,Sabor,54fe8013-34a0-488f-9d04-fc9cc687871b
79,Soledad,Sonora Ponceña,1982,Determination,8ac6089e-af01-4219-b2d5-e5de44f2760a
80,Suena,The Lebron Brothers,1967,Psychedelic Goes Latin,c1c0131c-35f4-4701-8d82-b73005c33123
81,Tu Me Haces Falta,Eddie Santiago,1988,Invasión de la privacidad,24341cf3-6576-47d4-b430-537b62a9c41d
82,Un regalo para tí,Mario Allison,1972,El Rakacha / Un Regalo Para Ti,4647b74f-8f39-43d3-bd2a-447a521a2548
83,Vicio,Pedro Conga y Su Orquesta Internacional,2007,Pedro Conga y Su Orquesta Internacional,6aae0fa5-2c1b-4665-be19-e1d2e61d9f09
84,Watusi Boogaloo,willie rosario,1968,Boogaloo & Guaguanco,e429eeef-57fb-42cd-abb8-59b4646b1103
85,Un Verano En NY,El gran combo,1975,7,3793dcd4-d3f6-4212-a3af-1fbf9f70debe
86,¿Qué tiene Van Van?,Juan Formell & Los Van Van,1999,30 Aniversario (2),923bdc90-7e84-4875-9daf-f69416c3ad36
87,Tienes La Mente Loca,Johnny Ray,1991,You Are My Everything,2049e400-953d-4a6e-b30d-6fdff9bb2b91
88,Brujería,El Gran Combo,1992,30 Aniversario [Disc 2],531efcef-b070-4d4e-bcff-d1dcd5f3a3c4
89,El Menú,El Gran Combo De Puerto Rico,1981,Happy Days,e8e9b6bb-4b52-4d83-836a-c47862f29185
90,Soy normal natural,Juan Formell Y Los Van Van,1994,Lo Ultimo En Vivo,eb9966ee-b351-49b7-aea2-c426a4932d79
91,Casi Te Envidio,Andy Montañez,1988,El Eterno Enamorado,d9255ef0-e58c-4b29-8552-f4384b50d80b
92,Fría como el viento,Silva & Guerra,1989,Amor Incondicional,79aea92f-3f04-444e-aa76-7be094413946
93,Que Sorpresa!,Juan Formell Y Los Van Van,1994,Lo Ultimo En Vivo,3201d704-a55a-473e-91f8-91a64631b6a7
94,Hablame,Jose Luis Garcia y Carangano,1989,Una Nueva Forma De Amar,7a1aecd7-c606-46cf-9198-af8cef45e532
95,Y No Hago Mas Na,El Gran Combo,1983,La Universidad De La Salsa,9d9dc57a-66b6-4abd-9c4f-863d40c2fede
96,Azuquita Pal cafe,El Gran Combo,1984,In Alaska: Breaking The Ice,497a0da4-aa1f-4385-8dff-7d57e59b439b
97,De Vuelta En La Trampa,Lalo Rodriguez,1992,De Vuelta En La Trampa,0ceb2dc5-1df1-494f-b3e4-ebd88d9c0bb7
98,Lluvia de amor,Max Torres,1989,Aprenderé!,628781bf-252d-47c2-b906-73cd831b0a56
99,No Tires la Primera Piedra,Tommy Olivencia Y Su Orquesta ,1987,30 Aniversario,0eb47466-e369-44d8-bb38-039846740919
100,Esto te pone la cabeza mala,Juan Formell & Los Van Van,1999,30 Aniversario (2),df3ac0e0-bafb-4b5b-b697-3df39027711b
101,"Mi Amor, Amor",Johnny & Ray,1988,Salsa Con Clase,eb3ed6ba-4fb5-412d-86a3-c86655623486
102,Cada vez,Mauricio Silva,1992,Con Furia,1c789ff2-04e1-4996-947b-eb0c63207009
103,Si estuvieras conmigo,Roberto Blades,1997,A buena hora,a927db84-b6e7-40a9-80a3-a9f68a0526d3
104,Ámame,El Gran Combo De Puerto Rico,1989,Amame,990b37d9-03d1-4501-9573-e9530d4e67f5
105,Ella Y Tu,Juan Manuel Lebron,1990,El Primero,7b40a2be-1f31-4270-88eb-ce533e3b6c58
106,Una mujer como tú,Johnny Ray,1989,Night gold,9d367741-ad53-4890-aad9-107362f98882
107,A dónde irás,Puerto Rican Power,2006,Super Éxitos,579f05a0-d8dc-4896-b9d8-c806bad35d69
108,Chango Tabeni,Machito,1997,Machito and his orchestra,3d104e35-a2e0-4816-aa7c-773b52795135
109,El Preso,Fruko Y Sus Tesos,1976,Fruko y sus tesos,61dbb6b1-63e1-4fd6-a300-a6dd50f8b020
110,Hasta ayer,Marc Anthony,1995,Todo a su tiempo,2a454ed4-cf69-4c3f-9ace-b6053182fd3a
111,No Me Digan Que Es Muy Tarde,Willie Colón,1996,The Best,0a5a001d-5332-4324-923f-a367ec605b6e
112,Presente y Pasado,Eddie Palmieri,2009,La Perfecta,932ce51f-3c57-4342-a5c8-3b80c563a1e3
113,Ran-Kan-Kan,Tito Puente,1974,Ran Kan Kan,626a783c-750c-41f1-89cd-b6cd800b66a3
114,Sale Sol (Dormi Contigo),Ismael Rivera,1992,Maelo.....El Unico,7d741d4e-b34a-4195-9fc2-2ade3f4342db
115,Tinguilanga,quique,1969,yes man!!! ... oh boy!!!,837bc91e-8a4d-4fa7-aca6-e889695b2497
116,Bajo con tumbao,Eddie Palmieri,1993,Papaito,17750a4c-a342-40e0-8faa-0c480bc55e55
117,Juliana,Cuco Valoy,1978,Salsa con coco,40a50ccb-28ee-43d8-9abd-3e09aae4f720
118,Lluvia,Eddie Santiago,1987,Sogo atrevido,f5805572-b57b-45cd-9c5c-ea92623e40be
119,Mi Guajira,Eddie Palmieri,2009,La Perfecta,a63972bf-94d0-4f19-a470-4b56f6780f0c
120,Amor y Control,Rubén Blades,1992,Amor y Control,78b37d37-d7d1-4b40-a3dd-1739c727f531
121,La Cita,Galy Galiano,1992,Solo Salsa,963c92dc-cc87-43aa-aac2-8d35f0a2873c
122,Lo Bueno Ya Viene,Lo Mejor de Cheo Feliciano con el Sexteto Joe Cuba,1974,Lo Mejor De Cheo Feliciano Con El Sexteto Joe Cuba,ec2f7f0c-8f85-48cc-8852-718e91466c08
123,no te quedes sin bailar,Ray Barretto,1987,Aquí se puede,7d5b8c89-0657-416c-84f6-726eb309d0f4
124,Sweet Tater Pie,Mongo Santamaría,1998,The Afro-Latin Groove - Sabroso!,bedbca5d-b603-48f4-b712-5a23ad766733
